pid,order,size,condition,rating
Larrimous,6,1,birds,10
Larrimous,10,10,birds,-7
Lara,5,1,mammals,-2.3
Lara,1,3,mammals,5.3
Lara,2,2,mammals,5.4
Lara,9,9,mammals,5.8
Lara,6,8,mammals,6.4
Lara,8,5,mammals,-2.8
Lara,4,10,mammals,NA
Lara,7,6,mammals,1.4
Lara,10,7,mammals,6.7
Lara,3,4,mammals,8.5
mia corvere,9,1,mammals,7
mia corvere,6,3,mammals,8.5
mia corvere,3,2,mammals,8
mia corvere,7,9,mammals,2
mia corvere,8,8,mammals,4
mia corvere,5,5,mammals,7.5
mia corvere,4,10,mammals,3
mia corvere,10,6,mammals,8.5
mia corvere,1,7,mammals,10
mia corvere,2,4,mammals,7.9
fourloko,5,1,mammals,6.8
fourloko,4,3,mammals,7.4
fourloko,1,2,mammals,3.5
fourloko,2,9,mammals,2
fourloko,9,8,mammals,3.4
fourloko,10,5,mammals,2.5
fourloko,8,10,mammals,4.5
fourloko,6,6,mammals,-2.4
fourloko,7,7,mammals,1.8
fourloko,3,4,mammals,9.4
Cherrytree,6,9,birds,-6
Cherrytree,8,8,birds,-7
Cherrytree,4,7,birds,3
Cherrytree,9,6,birds,-8
Cherrytree,3,5,birds,-4
Cherrytree,1,4,birds,2
Cherrytree,7,3,birds,5
Cherrytree,2,2,birds,7
Cherrytree,10,1,birds,6.5
Cherrytree,5,10,birds,-4
co,1,9,birds,5.6
co,9,8,birds,1.6
co,3,7,birds,5.4
co,10,6,birds,1.9
co,6,5,birds,4.4
co,5,4,birds,5.6
co,8,3,birds,10
co,2,2,birds,10
co,4,1,birds,10
co,7,10,birds,1.6
mermer,10,9,sea_creatures,-4.5
mermer,5,8,sea_creatures,-3.2
mermer,8,7,sea_creatures,-6
mermer,1,6,sea_creatures,-4.1
mermer,3,5,sea_creatures,1.3
mermer,4,4,sea_creatures,-7.1
mermer,9,3,sea_creatures,3.5
mermer,2,2,sea_creatures,3.3
mermer,6,1,sea_creatures,-7.3
mermer,7,10,sea_creatures,2.6
Lana,9,1,mammals,6.5
Lana,4,3,mammals,9.9
Lana,6,2,mammals,6.7
Lana,1,9,mammals,-5.9
Lana,7,8,mammals,5.6
Lana,10,5,mammals,3.4
Lana,2,10,mammals,3.4
Lana,8,6,mammals,4
Lana,3,7,mammals,-3.5
Lana,5,4,mammals,10
Tired one,2,9,birds,3.6
Tired one,5,8,birds,-3.1
Tired one,6,7,birds,1
Tired one,9,6,birds,10
Tired one,10,5,birds,10
Tired one,3,4,birds,10
Tired one,8,3,birds,10
Tired one,7,2,birds,10
Tired one,1,1,birds,10
Tired one,4,10,birds,-2.9
Hz,4,9,birds,1.6
Hz,9,8,birds,-3.3
Hz,10,7,birds,-2.5
Hz,2,6,birds,-10
Hz,5,5,birds,1.2
Hz,7,4,birds,-0.4
Hz,1,3,birds,2.5
Hz,6,2,birds,4.2
Hz,3,1,birds,1.6
Hz,8,10,birds,-2
Nora,10,9,sea_creatures,3.4
Nora,4,8,sea_creatures,-4
Nora,6,7,sea_creatures,-7.6
Nora,3,6,sea_creatures,-4.8
Nora,5,5,sea_creatures,4
Nora,8,4,sea_creatures,-4.3
Nora,7,3,sea_creatures,-1.9
Nora,9,2,sea_creatures,4.3
Nora,2,1,sea_creatures,4.2
Nora,1,10,sea_creatures,2.8
mar,3,9,sea_creatures,4
mar,2,8,sea_creatures,3
mar,6,7,sea_creatures,2
mar,4,6,sea_creatures,NA
mar,9,5,sea_creatures,3
mar,8,4,sea_creatures,NA
mar,10,3,sea_creatures,2
mar,1,2,sea_creatures,5
mar,7,1,sea_creatures,8
mar,5,10,sea_creatures,NA
hello,1,8,mammals,9
hello,5,4,mammals,-2
hello,7,9,mammals,7
hello,10,10,mammals,7
hello,6,6,mammals,-1
hello,9,2,mammals,-1
hello,2,1,mammals,-2
hello,3,5,mammals,8
hello,8,3,mammals,-5
hello,4,7,mammals,-7
waah,4,9,mammals,10
waah,6,1,mammals,-10
waah,5,10,mammals,10
waah,1,3,mammals,-2
waah,10,5,mammals,-3
waah,8,7,mammals,6
waah,2,6,mammals,-3
waah,9,2,mammals,4
waah,3,8,mammals,-0
waah,7,4,mammals,10
erhdf,7,10,mammals,0
erhdf,2,8,mammals,8
erhdf,4,3,mammals,-9
erhdf,10,6,mammals,10
erhdf,6,1,mammals,2
erhdf,1,4,mammals,3
erhdf,3,2,mammals,-0
erhdf,9,9,mammals,-1
erhdf,8,5,mammals,5
erhdf,5,7,mammals,8
iamtired,10,1,mammals,-2
iamtired,5,10,mammals,10
iamtired,6,7,mammals,5
iamtired,9,6,mammals,10
iamtired,3,5,mammals,7
iamtired,2,3,mammals,7
iamtired,8,8,mammals,4
iamtired,7,9,mammals,5
iamtired,1,2,mammals,-2
iamtired,4,4,mammals,5
skibidi,7,6,birds,1
skibidi,6,3,birds,-0
skibidi,9,10,birds,8
skibidi,2,1,birds,-6
skibidi,8,9,birds,4
skibidi,3,2,birds,-2
skibidi,5,5,birds,-7
skibidi,4,4,birds,10
skibidi,10,7,birds,0
skibidi,1,8,birds,3
pingu,9,2,birds,6
pingu,3,6,birds,3
pingu,1,7,birds,6
pingu,6,3,birds,-4
pingu,7,9,birds,6
pingu,8,8,birds,-2
pingu,10,1,birds,3
pingu,2,4,birds,1
pingu,5,10,birds,-0
pingu,4,5,birds,-5
covfefe,10,6,birds,-2
covfefe,3,2,birds,-8
covfefe,6,3,birds,-1
covfefe,8,8,birds,5
covfefe,1,9,birds,-0
covfefe,9,1,birds,3
covfefe,4,4,birds,-4
covfefe,7,10,birds,2
covfefe,5,7,birds,4
covfefe,2,5,birds,1
meh,10,1,birds,-3
meh,5,10,birds,-3
meh,7,8,birds,8
meh,1,7,birds,-4
meh,9,5,birds,-2
meh,3,2,birds,2
meh,4,6,birds,-10
meh,6,9,birds,-1
meh,2,3,birds,-4
meh,8,4,birds,1
what,7,4,sea_creatures,-7
what,3,10,sea_creatures,4
what,8,1,sea_creatures,-3
what,6,9,sea_creatures,7
what,4,2,sea_creatures,2
what,1,6,sea_creatures,1
what,5,7,sea_creatures,10
what,9,3,sea_creatures,-3
what,10,8,sea_creatures,-1
what,2,5,sea_creatures,7
daa,5,2,sea_creatures,-1
daa,10,9,sea_creatures,-1
daa,4,6,sea_creatures,-2
daa,3,10,sea_creatures,3
daa,9,4,sea_creatures,0
daa,7,7,sea_creatures,0
daa,1,5,sea_creatures,-1
daa,8,1,sea_creatures,-5
daa,2,3,sea_creatures,-9
daa,6,8,sea_creatures,1
3993,1,7,sea_creatures,0
3993,6,1,sea_creatures,-4
3993,2,6,sea_creatures,4
3993,8,5,sea_creatures,-8
3993,7,4,sea_creatures,4
3993,5,9,sea_creatures,-4
3993,9,3,sea_creatures,-4
3993,4,8,sea_creatures,7
3993,10,2,sea_creatures,-6
3993,3,10,sea_creatures,-8
pplllll,8,9,sea_creatures,-3
pplllll,5,1,sea_creatures,-5
pplllll,7,5,sea_creatures,6
pplllll,6,7,sea_creatures,1
pplllll,9,6,sea_creatures,7
pplllll,2,4,sea_creatures,2
pplllll,3,2,sea_creatures,-7
pplllll,10,10,sea_creatures,9
pplllll,1,3,sea_creatures,-2
pplllll,4,8,sea_creatures,-6
